player_name,position,school,forty_yard_dash,vertical_leap,three_cone_drill
Adam Randall,RB,Clemson,4.5,37,
CJ Donaldson,RB,Ohio St.,,,
Demond Claiborne,RB,Wake Forest,4.37,,
Desmond Reid,RB,Pittsburgh,,,
Eli Heidenreich,RB,Navy,4.44,35.5,
Emmett Johnson,RB,Nebraska,4.56,35.5,7.32
J'Mari Taylor,RB,Virginia,,34.5,
Jadarian Price,RB,Notre Dame,4.49,35,
Jam Miller,RB,Alabama,4.42,30.5,
Jeremiyah Love,RB,Notre Dame,4.36,,
Jonah Coleman,RB,Washington,,,
Kaytron Allen,RB,Penn St.,,,
Le'Veon Moss,RB,Texas A&M,,,
Mike Washington Jr.,RB,Arkansas,4.33,39,
Nicholas Singleton,RB,Penn St.,,,
Noah Whittington,RB,Oregon,,,
Rahsul Faison,RB,South Carolina,,37.5,
Robert Henry Jr.,RB,Texas-San Antonio,4.52,37,
Roman Hemby,RB,Indiana,,,
Seth McGowan,RB,Kentucky,4.49,42.5,
Aaron Anderson,WR,LSU,,30,
Antonio Williams,WR,Clemson,4.41,39.5,7
Barion Brown,WR,LSU,4.4,,
Brenen Thompson,WR,Mississippi St.,4.26,,
Bryce Lance,WR,North Dakota St.,4.34,41.5,7
CJ Daniels,WR,Miami,,,
Caleb Douglas,WR,Texas Tech,4.39,31.5,
Carnell Tate,WR,Ohio St.,4.53,,
Caullin Lacy,WR,Louisville,4.55,33.5,
Chase Roberts,WR,BYU,4.64,37,
Chris Bell,WR,Louisville,,,
Chris Brazzell II,WR,Tennessee,4.37,,
Chris Hilton,WR,LSU,4.41,34.5,7.25
Colbie Young,WR,Georgia,4.49,,
De'Zhaun-Ryan Stribling,WR,Mississippi,4.36,36,
Deion Burks,WR,Oklahoma,4.3,42.5,
Denzel Boston,WR,Washington,,35,
Dillon Bell,WR,Georgia,4.5,39,
Donaven McCulley,WR,Michigan,,,
Elijah Sarratt,WR,Indiana,,,
Emmanuel Henderson,WR,Kansas,4.44,35,
Eric McAlister,WR,TCU,,,
Eric Rivers,WR,Georgia Tech,4.35,37,
Germie Bernard,WR,Alabama,4.48,32.5,6.71
Harrison Wallace,WR,Mississippi,4.54,,
J. Michael Sturdivant,WR,Florida,4.4,39,
Ja'Kobi Lane,WR,USC,4.47,40,
Jalen Walthall,WR,Incarnate Word,4.57,35,
Jeff Caldwell,WR,Cincinnati,4.31,42,
Jordan Hudson,WR,SMU,,,
Jordyn Tyson,WR,Arizona St.,,,
Josh Cameron,WR,Baylor,,,
KC Concepcion,WR,Texas A&M,,,
Kaden Wetjen,WR,Iowa,4.47,35.5,6.95
Kendrick Law,WR,Kentucky,4.45,42,
Kevin Coleman,WR,Missouri,4.49,38.5,
Makai Lemon,WR,USC,,,
Malachi Fields,WR,Notre Dame,4.61,38,6.98
Malik Benson,WR,Oregon,4.37,32.5,
Omar Cooper,WR,Indiana,4.42,37,
Reggie Virgil,WR,Texas Tech,4.57,36,
Skyler Bell,WR,Connecticut,4.4,41,
Ted Hurst,WR,Georgia St.,4.42,36.5,
Vinny Anthony II,WR,Wisconsin,4.54,34.5,6.86
Zachariah Branch,WR,Georgia,4.35,38,
Zavion Thomas,WR,LSU,4.28,36,
Bauer Sharp,TE,LSU,4.63,35,
DJ Rogers,TE,TCU,,,
Dae'Quan Wright,TE,Mississippi,,,
Dallen Bentley,TE,Utah,4.62,35,
Eli Stowers,TE,Vanderbilt,4.51,45.5,
Elijah Raridon,TE,Notre Dame,4.62,36,
Jack Endries,TE,Texas,4.62,36,
Jaren Kanak,TE,Oklahoma,4.52,36,
Joe Royer,TE,Cincinnati,,,
John Michael Gyllenborg,TE,Wyoming,4.6,35.5,
Josh Cuevas,TE,Alabama,4.65,34,7.37
Justin Joly,TE,North Carolina St.,,,
Kenyon Sadiq,TE,Oregon,4.39,43.5,
Khalil Dinkins,TE,Penn St.,4.72,32.5,7.28
Lake McRee,TE,USC,,,
Marlin Klein,TE,Michigan,4.61,36,7.42
Matthew Hibner,TE,SMU,4.57,37,
Max Klare,TE,Ohio St.,,,
Michael Trigg,TE,Baylor,,,
Miles Kitselman,TE,Tennessee,4.9,34.5,
Nate Boerkircher,TE,Texas A&M,,,
Oscar Delp,TE,Georgia,,,
RJ Maryland,TE,SMU,4.51,33,
Riley Nowakowski,TE,Indiana,4.66,33.5,
Sam Roush,TE,Stanford,4.7,38.5,7.08
Tanner Koziol,TE,Houston,4.7,36.5,
Will Kacmarek,TE,Ohio St.,4.74,36,
