season,team_name,team_abbr,scheduled_games,opponent_wins_2025,opponent_losses_2025,opponent_ties_2025,opponent_record_games,opponent_win_pct,published_win_pct,rank_hardest_to_easiest,methodology,primary_source_url,crosscheck_source_url,primary_source_published_at,researched_at,notes
2026,Chicago Bears,CHI,17,158,129,2,289,0.550173,0.550,1,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Miami Dolphins,MIA,17,156,132,1,289,0.541522,0.542,2,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Arizona Cardinals,ARI,17,155,133,1,289,0.538062,0.538,3,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Green Bay Packers,GB,17,155,133,1,289,0.538062,0.538,3,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Kansas City Chiefs,KC,17,155,134,0,289,0.536332,0.536,5,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,New England Patriots,NE,17,153,135,1,289,0.531142,0.531,6,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Las Vegas Raiders,LV,17,153,136,0,289,0.529412,0.529,7,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Buffalo Bills,BUF,17,152,136,1,289,0.527682,0.528,8,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Los Angeles Chargers,LAC,17,151,138,0,289,0.522491,0.522,9,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Carolina Panthers,CAR,17,150,138,1,289,0.520761,0.521,10,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Minnesota Vikings,MIN,17,149,138,2,289,0.519031,0.519,11,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,New York Jets,NYJ,17,149,139,1,289,0.517301,0.517,12,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Los Angeles Rams,LAR,17,148,139,2,289,0.515571,0.516,13,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
2026,Seattle Seahawks,SEA,17,148,140,1,289,0.513841,0.514,14,Sum each of the 17 scheduled 2026 opponent slots' 2025 regular-season W-L-T records; repeated divisional opponents count twice; ties count as 0.5 win; win_pct=(wins+0.5*ties)/(wins+losses+ties).,https://www.cbssports.com/nfl/news/2026-nfl-strength-of-schedule/,https://www.giants.com/news/2026-nfl-strength-of-schedule-for-all-32-teams-cowboys-eagles-commanders,2026-05-12,2026-08-20,"Traditional prior-season SOS; descriptive, not a projection of 2026 team quality."
